sensor,x,y,z,t_ms
comp,357.88,-34.96,642.16,787.76
acc,-0.039,-0.031,0.8867,788.70
acc,-0.035,-0.039,0.8632,789.62
acc,-0.023,-0.027,0.9101,790.53
acc,-0.023,-0.027,0.9101,791.44
gyr,-8,63,1,793.64
acc,-0.031,-0.023,0.8710,799.02
acc,-0.031,-0.023,0.8710,799.95
acc,-0.035,0.0,0.8906,800.86
acc,-0.007,-0.023,0.875,801.77
gyr,-6,64,5,803.48
acc,-0.035,-0.031,0.8984,804.42
acc,-0.027,0.0234,0.8867,805.34
acc,-0.042,0.0117,0.8710,806.25
acc,-0.042,0.0117,0.8710,807.16
acc,-0.031,-0.046,0.8906,808.07
comp,357.88,-34.96,642.16,811.46
acc,-0.039,-0.042,0.875,812.38
acc,-0.039,-0.042,0.875,813.30
acc,-0.027,-0.035,0.8828,814.21
acc,0.0117,0.0234,0.8789,815.12
gyr,-6,63,0,816.80
acc,-0.031,-0.050,0.8789,817.73
acc,-0.027,-0.011,0.8867,818.66
acc,-0.031,-0.046,0.8789,819.56
acc,-0.031,-0.046,0.8789,820.47
gyr,-7,64,5,822.16
acc,-0.031,-0.031,0.875,823.09
acc,-0.039,-0.019,0.8554,824.01
acc,0.0,-0.031,0.8789,824.92
acc,-0.007,-0.023,0.8789,825.83
acc,-0.007,-0.023,0.8789,826.74
comp,357.88,-34.96,642.16,831.11
acc,-0.031,-0.031,0.8671,832.06
acc,-0.027,-0.019,0.875,832.99
